                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37658,                 1.5267,                0.80465,                0.39217,                0.88969,                0.47836,                0.44078,                0.37842,                 2.8956,                 0.7924,             0.00041182,             0.00041182,             0.00041182
                      2,                0.39869,                0.90023,                0.80848,                0.40593,                0.82039,                0.51449,                0.47784,                0.39942,                 2.1155,                 0.8087,             0.00074647,             0.00074647,             0.00074647
                      3,                0.39447,                 0.7171,                0.81792,                0.43024,                0.87256,                0.49906,                0.45461,                0.44273,                 1.6065,                0.82519,             0.00099861,             0.00099861,             0.00099861
                      4,                0.37016,                 0.6605,                 0.8115,                0.44252,                0.95039,                 0.4988,                0.45697,                0.37506,                  1.432,                 0.7967,             0.00087875,             0.00087875,             0.00087875
                      5,                0.37413,                0.64005,                0.80462,                0.46673,                0.94133,                0.52467,                0.49302,                0.33852,                 1.3272,                0.79317,             0.00087875,             0.00087875,             0.00087875
                      6,                0.33811,                0.57868,                0.79483,                0.46224,                0.94264,                0.50932,                0.48557,                0.31206,                  1.486,                0.78269,               0.000755,               0.000755,               0.000755
                      7,                0.31825,                0.53019,                0.79612,                0.45616,                0.90415,                0.55105,                0.53149,                0.29645,                 1.4133,                0.79158,             0.00063125,             0.00063125,             0.00063125
                      8,                0.28965,                 0.5036,                 0.7898,                0.45958,                0.97652,                0.52616,                0.51372,                0.25353,                 1.2279,                0.77537,              0.0005075,              0.0005075,              0.0005075
                      9,                0.26906,                0.46188,                 0.7841,                0.45798,                0.97401,                0.50803,                0.49664,                0.24188,                 1.3234,                0.77526,             0.00038375,             0.00038375,             0.00038375
                     10,                0.24937,                0.42904,                0.77768,                0.47587,                 0.9531,                0.52777,                 0.5175,                0.22216,                 1.2518,                0.76978,                0.00026,                0.00026,                0.00026
