                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39776,                 0.4804,                 1.4631,                0.81192,                0.38839,                0.85418,                0.51051,                0.45956,                0.38839,                0.85418,                0.50983,                0.45552,                0.43938,                0.84521,                 4.0884,                0.79421,             0.00041182,             0.00041182,             0.00041182
                      2,                0.43377,                 0.3845,                0.93011,                0.81032,                 0.4388,                0.89925,                0.51851,                 0.4605,                0.42781,                 0.8734,                0.50159,                0.45275,                0.47828,                 2.6473,                  2.448,                0.80835,             0.00074647,             0.00074647,             0.00074647
                      3,                0.42376,                0.38404,                0.77695,                0.81724,                0.44445,                0.87523,                0.49969,                0.44372,                0.44445,                0.87523,                0.49969,                0.44989,                0.46572,                0.60189,                 1.8854,                0.82338,             0.00099861,             0.00099861,             0.00099861
                      4,                0.40177,                0.37034,                 0.6833,                0.81036,                0.45975,                0.95091,                0.54017,                0.49996,                0.45975,                0.95091,                0.54017,                0.50871,                0.38411,                0.46898,                 1.5486,                0.80587,             0.00087875,             0.00087875,             0.00087875
                      5,                0.38422,                0.35088,                0.69092,                0.80464,                0.42901,                 0.7914,                0.48401,                0.45766,                0.42901,                 0.7914,                0.48401,                0.45157,                0.35374,                0.50275,                 1.6503,                0.80152,             0.00087875,             0.00087875,             0.00087875
                      6,                 0.3442,                 0.3332,                0.60265,                0.79435,                0.46022,                0.96186,                0.53683,                 0.5171,                0.46022,                0.96186,                0.53683,                0.50495,                0.30388,                0.44513,                 1.5435,                0.77894,               0.000755,               0.000755,               0.000755
                      7,                0.32344,                0.31872,                 0.5749,                0.79439,                0.47536,                0.97297,                0.52631,                0.50401,                0.47536,                0.97297,                0.52631,                0.49116,                0.28842,                0.40672,                  1.358,                0.78278,             0.00063125,             0.00063125,             0.00063125
                      8,                0.29677,                0.30721,                0.50929,                0.78744,                0.43935,                  0.952,                0.50901,                0.49501,                0.43935,                  0.952,                0.50901,                0.47886,                0.28247,                0.40187,                 1.2621,                0.78182,              0.0005075,              0.0005075,              0.0005075
                      9,                0.27768,                0.29358,                0.48632,                0.78132,                0.46524,                0.98167,                0.50176,                0.48994,                0.46524,                0.98167,                0.50176,                0.47556,                0.24136,                0.37531,                  1.315,                0.76745,             0.00038375,             0.00038375,             0.00038375
                     10,                0.25443,                0.28016,                0.44066,                0.77606,                0.47276,                0.96794,                0.51615,                 0.5071,                0.47276,                0.96794,                0.51615,                0.49284,                0.22552,                0.35384,                 1.2855,                0.76855,                0.00026,                0.00026,                0.00026
